new_name,fid
Aaltanhash,1
Adam-Eve River,
Ahnuhati,12
Ahta,8
Amai,
Anne Lake,
Apollo Road,
Artlish,94
Ashlu River,
Atleo Shore,115
Atluck West,
Awun,
Baker Inlet,33
Barrie Creek,42
Bay of Plenty,
Bear,69
Bedwell,103
Bella Coola,19
Bigsby,
Boat Basin Boat,102
Botany,
Brem,77
Brim River,38
Brittain,60
Bulson,104
Burrard Inlet,
Cameron Lake,
Capilano,
Capilano River,
Caycuse,118
Cedar Creek,46
Chambers Creek,
Chilliwack River (Thurston Meadows),
China Creek,
Chinakundl,
Claude Elliott,
Clayoquot + 0.5 upper Kennedy,107
Clowham River,67
Comox Lake,28
Conuma R.,
Coquitlam River,
Cypre Boat,
Dakota,
Datlamen,
Dawson Harbour,
Dawson Inlet,
Deena,
Deserted,62
Dinon,
Draney,5
East Creek,
East Inlet,34
Ecstall,
Effingham,123
Elaho River,
Eliza Creek,
Ellerslie,15
Elliot,
Espinosa,
Fairfax,
Flores #6 Shore,
Forbes,58
Fraser River (Island 22),
Furry Creek,
Gilttoyees,50
Gold River,
Gordon River,120
Government Creek,
Green,
Gregory,
Harriet Hr,
Hesketh,
Hesquiat,109
Hevenor Inlet,
Hiellen,
High Creek,
Homathko,59
Horne Lake,
Hunaechin,
Husan Lake S,
Huston,
Hutton,
Ingram,16
James Bay,14
Johnston,
Jordan River,
Jump Lake,
Kakweikan,10
Kaouk R,
Kashutl,
Kauwinich,
Kelsey Bay,100
Kemano River,39
Kennedy,108
Khutze,9
Khutzeymateen River,44
Kilbella,3
Kiltuish River,41
Kimsquit,18
Kiskosh Creek,35
Kitkiata Inlet,
Klanawa - R1,
Klanawa - R2,
Klanawa - R3,
Klanawa River,128
Klaskish,97
Klekane,
Kleptee,
Klunkwoi,
Koeye,2
Koksilah River,
Koprino,
Koskimo,
Kowesas River,43
Kwalate,11
Kwatna,20
Kwinamass River,40
Kynoch Inlet,
Lagoon,
Lake Cowichan,31
Lausmann,
Leiner,
Leverson Creek A,49
Little Zeballos R,
Long,
Lower Kaipit Cutblock,
Lower Klat N,
Lucky Creek Boat,130
Macktush,125
Malskope,
McIsaac_River,21
McNab,70
McShane_Creek,48
Megin,112
Mellis Inlet,
Mit Creek,
Mitchell,
Mountain Creek,
Moyeha,116
Muskeg,
Nahmint Bay,
Nahmint Lake,92
Namu,
Nanaimo Lakes,32
Narrows/Tzoonie,
Nasparti,
Nekite,6
Newcombe Harbour,
Nimpkish Lake,
Nimpkish River,99
Nitinat,129
Orford,75
Ououkinish,
Pachena Bay,127
Paradise,74
Pass into Yakoun,
Phan River,
Pitt Lake,
PLI - Loquilts River,72
Port Chanal,
Powell-Daniels,
Power,101
Pretty Girl Shore,111
Quatam,76
Rainy River,68
Riley,
Robson Bight-Tsitika R,
Rodgers,
San Juan River,121
Sangan,
Sarita Log Sort,126
Schoen Lake,
Sechelt Inlet,
Security,
Sewell,
Seymour River,
Sim,13
Skeena,
Skowquiltz,17
Skwawka,63
Sooke Lake,30
Sooke Lake 2,
Southgate,73
Squamish River,
Strathcona-Buttle-Karst Ck,
Sucwoa R./Canton Ck,
Surf Inlet,
Sutton Road,
Sydney,110
Tahsis,93
Tahsish Inlet,98
Tartu,
Teaquahan,65
Theodosia,
Tlatlos,
Tlupana/Nesook,
Toba,79
Tofino Creek,106
Toon River,47
Toquart,130
Tranquil,105
Triumph_River,
Trounce,
Tsitika Hwy 19,
Tsitika River,
Tsitika River R4,
Tzoonie,66
Uchucklesit Boat,124
Union_Inlet,45
Unknown_1,36
Unknown_5,37
Upper Campbell,29
Upper Klat S,
Useless Inlet Boat,
Vancouver,61
Vernon Lake,
Wakeman,7
Walbran,119
Walkum,
Wannock,4
Watta,113
Windy Bay,
Woss Airstrip,
Woss Lake,
Yakoun River,
Zeballos,96